Job Role,Job description,Required skills,Years of experience required,Company name,Location,Date posted
Senior Toxicologist,The individual will be responsible for running and over-seeing in-vivo studies in the for programs that target immunotherapeutics against infectious diseases and cancer. They will also be integral for providing toxicology expertise for ongoing pre-clinical developments as well as devising a strategy for compound development.,"Toxicology expertise, Regulatory knowledge, Data analysis and interpretation, Project management, Communication, Budget management, Flexibility",2-5 years,Discover International,"Germany, Belgium, Netherlands or Switzerland",1 week ago
Technical Implementation Lead O2C/3DC Nordics,"You will be responsible to create a basis to seamlessly onboard our new clients into our organization. You will be leading a team of professional implementation managers across the Scandinavian countries. You will be the one to lean on when the wind gets windier, the enabler and the one who is the first to praise others when achievements are conquered.","Technical implementation expertise, Leadership skills, Business acumen, Knowledge transfer and standardization, Customer engagement, Communication skills, Industry experience, Event participation",0 year,Riverty,"Sweden (Varberg, Uppsala or Stockholm) or Norway (Oslo, Rörvik or Sandefjord)",4 weeks ago
Founders' Associate,The responsibilities you own will directly contribute to shaping a brand new category of technology for the shipping industry and preventing greenhouse gas emissions from entering the atmosphere.,"Creative Problem Solving, Attention to Detail, Business Development, Communication Training, External Communications, Management Consulting, Operations, Oral Communication, Problem Solving, Timelines",2-4+ years,Seabound,"London, England, United Kingdom Remote",3 weeks ago
Climate Strategy and Development,Identify and develop business cases for new technical and commercial solutions based on carbon market trends and movements,"Build Strong Relationships, Business Case Preparation, Carbon Credits, Carbon Markets, Coaching & Mentoring, Lead Qualification, Market Analysis, Negotiation, Problem Solving, System Performance",1 year,Patch,"London Area, United Kingdom Remote",1 week ago
Data Researcher,Support the team with answering data queries and updating records as required,"Analytical Skills, Communication, Data Analysis, Microsoft Excel, Statistics, Data Collection, Data Entry, English, Problem Solving, Site Management",1 year,Unison Site Management,"Madrid, Community of Madrid, Spain Remote",2 days ago
Business Analyst,"Create and execute test scenarios to make sure that the implemented functionalities work as expected and meet the customer requirements; Deliver trainings for clients and their end-users on basic use of the system, the newly implemented functionalities, etc.; Frequent travel or occasional spending of time at customers’ offices may be required for some of the clients.","Analytical Skills, Business Analysis, Requirements Gathering, Business Process, Business Requirements, Finance, Mobile Application Part (MAP), Problem Solving, Test Scenarios, User Acceptance Testing",3+ years,RIR | Radioactive International Recruitment Ltd,"Sofia, Sofia City, Bulgaria Remote",1 week ago
Senior Customer Success Engineer Energy Solutions m/f/d,"Deep, technical understanding of Energy Storage Systems and lithium-ion batteries","Communication, Customer Experience, Customer-focused Service, Enablement, Energy Storage, Organization Skills, Storage Systems, Technical Enablement, Technical Support, Technical Understanding",5+ years,TWAICE,Germany Remote,6 days ago
Global Strategic Sourcing Manager – Flexible Packaging,"Leads negotiations with global suppliers, selecting the appropriate path to market for flexible packaging as set by the category strategy and in tandem with regional commercial buyers.","Flexible Packaging, Global Sourcing, Performance Reporting, Recycling, Stakeholder Management, Strategic Sourcing, Supplier Management, Supplier Negotiation, Supplier Performance, Supplier Relationship Management",7 years,Mars,"Aimargues, Occitanie, France Remote",2 days ago
Business Development Lead,"We are looking for an open-minded and motivated business development professional who takes initiative and produces results. Ideally, you would have a strong background in business development and customer success, additionally some experience with marketing.","Account Management, Business Development, Commodities, Derivatives, Development Strategy, Market Research, New Business Development, New Leads, Relationship Building, Reliability",1 year,Atem,Germany Remote,1 day ago
Senior Software Engineer,Have experience across more than one language and are comfortable working with new tech. (experience in Python is essential plus JavaScript (React framework) and Java ideally),"JavaScript, Programming, .NET Framework, API Development, Back-End Web Development, Bid Processes, Code Review, Distributed Systems, Front-End Development, Software Architecture",2 year,Helyx,United Kingdom Remote,5 days ago
